section,quantity,parameter,output,value,unit,tag,note
evpi_group,ci95_low,ore_chemistry_only,npv_musd,-0.09015997289845501,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: al_mean_ppm, al_sigma_ppm"
evpi_group,ci95_high,ore_chemistry_only,npv_musd,0.16134239074894197,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: al_mean_ppm, al_sigma_ppm"
evpi_group,switch_fraction,ore_chemistry_only,npv_musd,0.00390625,fraction,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: al_mean_ppm, al_sigma_ppm"
evpi_group,cost,ore_chemistry_only,,338.0,USD,DERIVED,"sum of the per-parameter measurement costs in memo_run.MEASUREMENT_COSTS; upper bound, shared sample preparation not netted out"
evpi_group,evpi,ore_metallurgy_only,npv_musd,-0.39913976869947376,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: mass_yield_flot, mass_yield_leach"
evpi_group,standard_error,ore_metallurgy_only,npv_musd,0.207937855574037,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: mass_yield_flot, mass_yield_leach"
evpi_group,ci95_low,ore_metallurgy_only,npv_musd,-0.8066979656245863,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: mass_yield_flot, mass_yield_leach"
evpi_group,ci95_high,ore_metallurgy_only,npv_musd,0.008418428225638708,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: mass_yield_flot, mass_yield_leach"
evpi_group,switch_fraction,ore_metallurgy_only,npv_musd,0.0,fraction,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: mass_yield_flot, mass_yield_leach"
evpi_group,cost,ore_metallurgy_only,,2140.0,USD,DERIVED,"sum of the per-parameter measurement costs in memo_run.MEASUREMENT_COSTS; upper bound, shared sample preparation not netted out"
evpi_group,evpi,commercial_all_five,npv_musd,0.1362360567738854,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: price, capex_musd, discount_rate, power_price, reagent_price"
evpi_group,standard_error,commercial_all_five,npv_musd,0.5515646546532437,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: price, capex_musd, discount_rate, power_price, reagent_price"
evpi_group,ci95_low,commercial_all_five,npv_musd,-0.9448306663464723,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: price, capex_musd, discount_rate, power_price, reagent_price"
evpi_group,ci95_high,commercial_all_five,npv_musd,1.217302779894243,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: price, capex_musd, discount_rate, power_price, reagent_price"
evpi_group,switch_fraction,commercial_all_five,npv_musd,0.068359375,fraction,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: price, capex_musd, discount_rate, power_price, reagent_price"
evpi_group,cost,commercial_all_five,,213000.0,USD,DERIVED,"sum of the per-parameter measurement costs in memo_run.MEASUREMENT_COSTS; upper bound, shared sample preparation not netted out"
evpi_group,evpi,price_and_capex,npv_musd,-0.11812054248536086,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: price, capex_musd"
evpi_group,standard_error,price_and_capex,npv_musd,0.482570066804943,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: price, capex_musd"
evpi_group,ci95_low,price_and_capex,npv_musd,-1.0639578734230493,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: price, capex_musd"
evpi_group,ci95_high,price_and_capex,npv_musd,0.8277167884523274,MUSD,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: price, capex_musd"
evpi_group,switch_fraction,price_and_capex,npv_musd,0.046875,fraction,COMPUTED,"nested MC, n_outer=512, n_inner=512, seed 11, no clamping at zero; params: price, capex_musd"
evpi_group,cost,price_and_capex,,165000.0,USD,DERIVED,"sum of the per-parameter measurement costs in memo_run.MEASUREMENT_COSTS; upper bound, shared sample preparation not netted out"
